	cluster75	[TRIGGERPRI,DT,NN]	[5.386963237383229,5.563274651544897,8.643189240714896]
	cluster76	[TRIGGERPRI,NNS,VBG]	[3.8939704997889466,4.617249071028077,5.398127490360403]
	cluster77	[TRIGGERPRI,CC,IN]	[5.380272815793201,7.646923263366553,8.628446279548644]
	cluster78	[TRIGGERPRI,CD,NNS]	[4.733849918906213,4.8698635460125175,7.211596774784377]
	cluster79	[TRIGGERPRI,NNS,NN]	[4.276621369346437,5.0130030988404535,6.219895561132441]
		[TRIGGERPRI,#,#]	[4.27786895803888,5.2103887459088405,6.222587900069667]
		[TRIGGERPRI,IN,CD]	[4.2791165467313235,5.4077743929772275,6.225280239006892]
	cluster80	[TRIGGERPRI,VBP,DT]	[3.916129422124152,4.30197583003266,5.44548527120448]
		[TRIGGERPRI,#,#]	[3.9146031187450774,4.19001295822077,5.4422223839454436]
		[TRIGGERPRI,DT,RB]	[3.913076815366003,4.0780500864088784,5.438959496686408]
	cluster81	[TRIGGERPRI,RB,VBZ]	[5.925747069451701,6.406583179451221,9.835069678426468]
	cluster82	[TRIGGERPRI,CC,#]	[4.685862304264864,6.897918565111568,7.107069791029293]
		[TRIGGERPRI,CC,FW]	[4.685862304264864,6.897918565111568,7.107069791029293]
		[TRIGGERPRI,CC,VB]	[4.685862304264864,6.897918565111568,7.107069791029293]
	cluster83	[TRIGGERPRI,VBP,#]	[4.516467822411183,4.913460366251552,6.738899541308244]
		[TRIGGERPRI,VBP,RB]	[4.516467822411183,4.913460366251552,6.738899541308244]
		[TRIGGERPRI,VBP,TO]	[4.516467822411183,4.913460366251552,6.738899541308244]
	cluster84	[TRIGGERPRI,VBN,CC]	[3.4556353277830434,3.884197600314201,4.468009117696054]
		[TRIGGERPRI,#,#]	[3.456545008662816,3.913806205672502,4.469925159455689]
		[TRIGGERPRI,RB,JJ]	[3.4552827311281646,3.886677348801369,4.46726650419387]
		[TRIGGERPRI,JJ,CC]	[3.4587169670772386,3.970543667901935,4.474499856477142]
	cluster85	[TRIGGERPRI,CC,CD]	[5.154520754003604,7.403923715406147,8.131878643435428]
	cluster86	[TRIGGERPRI,CD,#]	[3.279552827691285,3.405750071695361,4.09841120084897]
		[TRIGGERPRI,CD,VBP]	[3.279552827691285,3.405750071695361,4.09841120084897]
		[TRIGGERPRI,CD,IN]	[3.279552827691285,3.405750071695361,4.09841120084897]
		[TRIGGERPRI,CD,VBN]	[3.279552827691285,3.405750071695361,4.09841120084897]
		[TRIGGERPRI,CD,CD]	[3.279552827691285,3.405750071695361,4.09841120084897]
		[TRIGGERPRI,CD,PRP]	[3.279552827691285,3.405750071695361,4.09841120084897]
		[TRIGGERPRI,CD,VBG]	[3.279552827691285,3.405750071695361,4.09841120084897]
	cluster87	[TRIGGERPRI,IN,#]	[3.9243040090236976,5.035073839092865,5.462963454006784]
		[TRIGGERPRI,IN,VBN]	[3.9243040090236976,5.035073839092865,5.462963454006784]
		[TRIGGERPRI,IN,NNP]	[3.9243040090236976,5.035073839092865,5.462963454006784]
	cluster88	[TRIGGERPRI,IN,WDT]	[3.988168248606756,5.102233236982245,5.5996503362686205]
		[TRIGGERPRI,IN,#]	[3.988168248606756,5.102233236982245,5.5996503362686205]
		[TRIGGERPRI,IN,RB]	[3.988168248606756,5.102233236982245,5.5996503362686205]
	cluster89	[TRIGGERPRI,PRP,VBZ]	[4.963233086278324,5.053580142712489,7.712554018230431]
		[TRIGGERPRI,PRP,#]	[4.963233086278324,5.053580142712489,7.712554018230431]
		[TRIGGERPRI,PRP,VBP]	[4.963233086278324,5.053580142712489,7.712554018230431]
	cluster90	[TRIGGERPRI,NNS,FW]	[3.5336159383812586,4.243754305785332,4.632481467027471]
	cluster91	[TRIGGERPRI,CC,NNS]	[5.0016553000336765,7.239115829093369,7.796669469265147]
	cluster92	[TRIGGERPRI,DT,JJ]	[5.3350308974254865,5.510978146906039,8.528790912918527]
	cluster93	[TRIGGERPRI,RB,WRB]	[3.129825869738749,3.5531086236281144,3.7862515634502603]
		[TRIGGERPRI,RB,#]	[3.129825869738749,3.5531086236281144,3.7862515634502603]
		[TRIGGERPRI,RB,CD]	[3.129825869738749,3.5531086236281144,3.7862515634502603]
	cluster94	[TRIGGERPRI,RB,RB]	[4.410421784745042,4.862980706627062,6.509082356714288]
	cluster95	[TRIGGERPRI,TO,NN]	[5.626149274798544,5.968604739407994,9.171212053445888]
	cluster96	[TRIGGERPRI,VBN,RB]	[3.3010703666194194,3.725873914786454,4.14343745935859]
		[TRIGGERPRI,VBN,FW]	[3.3010703666194194,3.725873914786454,4.14343745935859]
		[TRIGGERPRI,VBN,#]	[3.3010703666194194,3.725873914786454,4.14343745935859]
	cluster97	[TRIGGERPRI,FW,FW]	[2.5706999571615814,2.641790994194828,2.641790994194828]
	cluster98	[TRIGGERPRI,VBG,DT]	[4.897143118996952,5.172243081825877,7.568001294408686]
	cluster99	[TRIGGERPRI,VBZ,TO]	[4.918951445351413,6.339771135677218,7.6156817720362975]
	cluster100	[TRIGGERPRI,NNP,NNP]	[2.5124229861396263,2.524858269887053,2.524858269887053]
		[TRIGGERPRI,RBR,RB]	[2.5124229861396263,2.524858269887053,2.524858269887053]
		[TRIGGERPRI,#,#]	[2.5124229861396263,2.524858269887053,2.524858269887053]
	cluster101	[TRIGGERPRI,RB,VBD]	[5.150361094223749,5.617365762582937,8.122745809989508]
	cluster102	[TRIGGERPRI,NN,WP$]	[5.094160737023407,7.958298149074338,7.999415546421323]
	cluster103	[TRIGGERPRI,WP$,NNS]	[5.087657683692014,5.108150744496052,7.98515223383157]
	cluster104	[TRIGGERPRI,WP$,NN]	[4.21878921329564,4.23848477901143,6.095181886815027]
	cluster105	[TRIGGERPRI,CC,VBN]	[4.763005728740005,6.981363673658253,7.275151810141787]
	cluster106	[TRIGGERPRI,SYM,NNS]	[2.5177123150135055,2.5354495868607154,2.5354495868607154]
	cluster107	[TRIGGERPRI,CD,#]	[3.751632163303133,3.881284979396077,5.094658496225545]
		[TRIGGERPRI,CD,CC]	[3.751632163303133,3.881284979396077,5.094658496225545]
		[TRIGGERPRI,CD,RB]	[3.751632163303133,3.881284979396077,5.094658496225545]
	cluster108	[TRIGGERPRI,CC,SYM]	[4.903835012715024,7.133535270451994,7.582630069333696]
	cluster109	[TRIGGERPRI,VBZ,PRP$]	[3.984123920398705,5.351192887563329,5.590987196928555]
		[TRIGGERPRI,VBZ,JJR]	[3.984123920398705,5.351192887563329,5.590987196928555]
		[TRIGGERPRI,VBZ,#]	[3.984123920398705,5.351192887563329,5.590987196928555]
	cluster110	[TRIGGERPRI,RBS,JJ]	[2.506740821440462,2.5134852701547716,2.5134852701547716]
		[TRIGGERPRI,VB,JJ]	[2.506740821440462,2.5134852701547716,2.5134852701547716]
		[TRIGGERPRI,PRP$,JJ]	[2.506740821440462,2.5134852701547716,2.5134852701547716]
		[TRIGGERPRI,#,JJ]	[2.506740821440462,2.5134852701547716,2.5134852701547716]
	cluster111	[TRIGGERPRI,RB,IN]	[4.093491197412838,4.539393553713622,5.825589291276017]
	cluster112	[TRIGGERPRI,PRP,VBD]	[5.232612571200213,5.323985098263623,8.303449757313363]
	cluster113	[TRIGGERPRI,NN,DT]	[5.323623133144688,8.209400892700645,8.503673688072539]
	cluster114	[TRIGGERPRI,CD,NN]	[4.467413697182212,4.601792629995895,6.63252617359592]
	cluster115	[TRIGGERPRI,CC,WRB]	[4.553030752572538,6.754082366247146,6.81825825122529]
		[TRIGGERPRI,CC,#]	[4.553030752572538,6.754082366247146,6.81825825122529]
